num_item_id, uni_lemma, avg_surprisal
3,cockadoodledoo,NA
4,grrr,NA
5,meow,NA
6,moo,NA
7,ouch,NA
10,vroom,NA
13,alligator,NA
14,animal,NA
15,ant,NA
16,bear,NA
17,bee,NA
18,bird,5.327323981693813
19,bug,NA
20,bunny,NA
21,butterfly,NA
22,cat,NA
24,cow,NA
25,deer,NA
26,dog,NA
27,donkey,NA
28,duck,NA
29,elephant,NA
31,frog,NA
32,giraffe,NA
33,goose,NA
34,hen,NA
35,horse,NA
36,kitty,NA
37,lamb,NA
38,lion,NA
39,monkey,NA
40,moose,NA
41,mouse,NA
42,owl,NA
43,penguin,NA
44,pig,6.853540897369385
45,pony,NA
46,puppy,NA
47,rooster,NA
48,sheep,NA
49,squirrel,NA
50,teddybear,NA
51,tiger,NA
52,turkey,NA
53,turtle,NA
54,wolf,NA
55,zebra,NA
56,airplane,NA
57,bicycle,NA
58,boat,NA
59,bus,NA
60,car,NA
61,firetruck,NA
62,helicopter,NA
63,motorcycle,NA
64,sled,5.643303394317627
65,stroller,NA
66,tractor,NA
67,train,NA
68,tricycle,NA
69,truck,NA
70,ball,4.86828030858721
71,balloon,NA
72,bat,NA
73,block,6.449502944946289
74,book,5.328243970870972
75,bubbles,NA
76,chalk,NA
77,crayon,NA
78,doll,NA
79,game,NA
80,glue,NA
81,pen,NA
82,pencil,NA
84,present,NA
85,puzzle,NA
86,story,NA
88,apple,NA
89,applesauce,NA
90,banana,NA
91,beans,NA
92,bread,NA
93,butter,NA
94,cake,NA
95,candy,NA
96,carrots,NA
97,cereal,NA
98,cheerios,NA
99,cheese,NA
101,chocolate,NA
102,coffee,NA
103,coke,NA
104,cookie,5.0825215975443525
105,corn,NA
106,cracker,NA
107,donut,NA
109,egg,NA
111,food,NA
113,grapes,NA
115,gum,NA
116,hamburger,NA
117,ice,NA
119,jello,NA
120,jelly,NA
121,juice,NA
122,lollipop,NA
123,meat,NA
124,melon,NA
125,milk,NA
126,muffin,NA
127,pasta,NA
128,nuts,6.939621448516846
130,pancake,NA
131,peas,NA
133,pickle,NA
134,pizza,NA
135,popcorn,NA
136,popsicle,NA
137,chips,NA
138,potato,NA
139,pretzel,NA
140,pudding,NA
141,pumpkin,NA
142,raisin,NA
143,salt,NA
144,sandwich,NA
145,sauce,NA
146,soda,NA
147,soup,NA
148,pasta,NA
149,strawberry,NA
150,toast,NA
151,tuna,NA
152,vanilla,6.293330192565918
153,vitamins,NA
155,yogurt,4.872965642384121
156,beads,NA
157,belt,NA
158,bib,NA
159,boots,6.368101596832275
160,button,NA
161,coat,6.152021408081055
162,diaper,NA
164,gloves,NA
165,hat,6.173348426818848
166,jacket,NA
167,jeans,NA
168,mittens,5.744002342224121
169,necklace,NA
170,pajamas,NA
171,pants,NA
172,scarf,NA
173,shirt,NA
174,shoe,NA
175,shorts,NA
176,slipper,NA
177,sneaker,NA
178,snowsuit,NA
179,sock,NA
180,sweater,NA
181,tights,NA
182,underpants,NA
183,zipper,NA
184,ankle,NA
185,arm,NA
187,butt,NA
188,cheek,NA
189,chin,NA
190,ear,NA
191,eye,NA
192,face,6.353496313095093
193,finger,NA
194,foot,NA
195,hair,6.3989081382751465
196,hand,NA
197,head,NA
198,knee,NA
199,leg,NA
200,lips,NA
201,mouth,5.782063245773315
202,nose,5.710575103759766
203,owie,NA
204,penis,NA
205,shoulder,NA
206,toe,NA
207,tongue,NA
208,tooth,NA
209,tummy,NA
210,vagina,NA
211,basket,NA
212,blanket,NA
213,bottle,NA
214,bowl,NA
215,box,NA
216,broom,NA
218,bucket,NA
219,camera,NA
221,clock,NA
223,cup,5.941596508026123
224,dish,NA
225,fork,NA
226,garbage,NA
227,glass,NA
228,glasses,NA
229,hammer,5.538881778717041
230,jar,NA
231,keys,NA
232,knife,NA
233,lamp,NA
235,medicine,NA
236,money,NA
237,mop,NA
239,napkin,NA
240,paper,NA
241,penny,NA
242,picture,5.359260559082031
243,pillow,NA
244,plant,NA
245,plate,NA
246,purse,NA
247,radio,NA
248,scissors,NA
249,soap,NA
250,spoon,5.893764019012451
251,tape,NA
252,telephone,NA
253,tissue,NA
254,toothbrush,NA
255,towel,NA
256,trash,NA
257,tray,NA
258,vacuum,NA
259,walker,NA
261,basement,NA
262,bathroom,NA
263,bathtub,NA
264,bed,7.111259937286377
265,bedroom,NA
266,bench,NA
267,chair,NA
268,closet,NA
269,couch,NA
270,crib,NA
271,door,NA
272,drawer,NA
273,dryer,NA
274,garage,NA
276,kitchen,NA
278,oven,NA
280,porch,NA
281,potty,NA
283,refrigerator,NA
284,room,NA
285,shower,NA
286,sink,NA
287,sofa,NA
288,stairs,NA
289,stove,NA
290,table,NA
291,tv,NA
292,window,5.156928886066783
294,yard,NA
295,cloud,NA
296,flag,NA
297,flower,NA
298,garden,NA
299,grass,NA
300,hose,NA
301,ladder,NA
303,moon,NA
304,pool,NA
305,rain,NA
307,roof,NA
308,sandbox,NA
309,shovel,NA
310,sidewalk,NA
311,sky,NA
313,snow,5.732331275939941
314,snowman,7.803440093994141
315,sprinkler,NA
316,star,NA
317,stick,NA
318,stone,NA
319,street,NA
320,sun,NA
322,tree,NA
324,wind,8.049088478088379
325,beach,NA
326,camping,NA
327,church,NA
328,circus,NA
329,country,NA
330,downtown,NA
331,farm,NA
333,home,7.368545055389404
334,house,5.731298446655273
335,movie,NA
336,outside,6.63922643661499
337,park,NA
338,party,NA
339,picnic,NA
340,playground,NA
341,school,NA
342,store,NA
343,woods,NA
345,yard,NA
346,zoo,NA
347,aunt,NA
348,baby,NA
349,babysitter,NA
351,boy,4.59014876683553
352,brother,NA
353,child,NA
354,clown,NA
355,cowboy,NA
356,daddy,NA
357,doctor,NA
358,firefighter,NA
359,friend,NA
360,girl,NA
361,grandma,NA
362,grandpa,NA
363,lady,NA
364,mailman,NA
365,man,NA
366,mommy,NA
367,nurse,NA
369,people,6.517609596252441
370,person,9.309131622314453
372,police,NA
373,sister,NA
374,teacher,NA
375,uncle,NA
376,bath,NA
377,breakfast,NA
378,bye,NA
380,dinner,NA
384,hello,NA
385,hi,NA
386,lunch,NA
387,nap,NA
389,no,4.678095002969106
390,pattycake,NA
391,peekaboo,NA
392,please,6.462350010871887
393,shh,NA
394,shopping,NA
395,snack,NA
400,yes,7.886909484863281
401,bite,5.896910508473714
402,blow,5.716291109720866
403,break,NA
404,bring,7.250469207763672
405,build,6.540159225463867
406,bump,NA
407,buy,NA
408,carry,NA
409,catch,NA
410,chase,NA
411,clap,NA
413,climb,NA
414,close,6.223049163818359
415,cook,NA
417,cry,NA
418,cut,NA
419,dance,NA
420,draw,NA
422,drive,NA
423,drop,NA
425,dump,NA
426,eat,5.418322515487671
427,fall,6.636102676391602
428,feed,NA
429,find,NA
430,finish,6.832664966583252
431,fit,4.65163128716605
432,fix,6.427337646484375
433,get,5.455930709838867
434,give,NA
435,go,4.926491780714556
436,hate,NA
437,have,6.1478203137715655
438,hear,5.960763692855835
439,help,NA
440,hide,NA
441,hit,6.5923285484313965
442,hold,NA
443,hug,NA
444,hurry,NA
445,jump,NA
446,kick,NA
447,kiss,NA
448,knock,NA
449,lick,NA
451,listen,NA
452,look,5.971122407913208
453,love,NA
454,make,NA
457,pick,12.846331787109374
458,play,6.978351211547851
459,pour,NA
460,pretend,NA
461,pull,NA
462,push,NA
463,put,4.533986692075376
464,read,5.980448246002197
465,ride,5.194535255432129
466,rip,NA
467,run,NA
468,say,7.010552883148193
469,see,4.912025656018939
470,shake,NA
471,share,NA
472,show,6.818151950836182
473,sing,NA
474,sit,7.995941638946533
475,skate,NA
476,sleep,NA
478,smile,NA
479,spill,NA
480,splash,NA
481,stand,NA
482,stay,6.666325569152832
483,stop,NA
484,sweep,NA
485,swim,NA
487,take,5.2353683199201315
488,talk,NA
489,taste,NA
490,tear,NA
491,think,5.495065808296204
492,throw,5.085559436253139
493,tickle,NA
494,touch,NA
495,wait,NA
496,wake,NA
497,walk,NA
498,wash,6.788022994995117
500,wipe,5.85250186920166
501,wish,NA
503,write,NA
505,asleep,NA
506,awake,NA
507,bad,NA
508,better,NA
509,big,5.830909967422485
510,black,NA
511,blue,NA
512,broken,NA
513,brown,NA
514,careful,NA
516,cold,5.6949180364608765
517,cute,NA
518,dark,NA
519,dirty,NA
521,empty,NA
522,fast,NA
523,fine,NA
524,first,NA
525,full,NA
526,gentle,NA
527,good,4.332497417926788
528,green,5.664881944656372
529,happy,7.198477745056152
530,hard,NA
531,heavy,NA
532,high,6.215367794036865
533,hot,6.670681953430176
534,hungry,NA
536,last,6.095187187194824
538,long,NA
539,loud,NA
540,mad,NA
541,naughty,NA
542,new,7.049980640411377
543,nice,5.516696512699127
544,noisy,NA
545,old,NA
547,poor,7.111476898193359
548,pretty,NA
549,quiet,NA
550,red,5.641316095987956
551,sad,6.039371490478516
552,scared,NA
553,sick,NA
554,sleepy,6.264781475067139
555,slow,NA
556,soft,5.923730850219727
557,sticky,NA
558,stuck,NA
559,thirsty,NA
560,tiny,NA
561,tired,NA
563,white,NA
564,windy,6.774087905883789
565,yellow,5.6302841901779175
566,yucky,NA
567,after,NA
568,before,NA
569,day,NA
570,later,NA
571,morning,NA
572,night,11.511850833892822
573,now,9.58057975769043
574,time,7.782713890075684
575,today,NA
576,tomorrow,9.698900858561197
577,tonight,NA
578,yesterday,NA
579,he,7.639480352401733
580,her,5.821035265922546
581,hers,NA
582,him,NA
583,his,5.758889198303223
584,i,5.399647792180379
585,it,3.2449681869772977
586,me,6.44010329246521
587,mine,13.0488862991333
588,my,6.2737510204315186
589,myself,NA
590,our,NA
591,she,4.299161701202393
592,that,2.8369331126119577
593,their,NA
594,them,3.593419952392578
595,these,5.619570851325989
596,they,5.491590817769368
597,this,4.7931414084001025
598,those,4.755547841389974
599,us,NA
600,we,6.035175919532776
601,you,3.79386212609031
602,your,3.9536883580057243
603,yourself,NA
604,how,6.005048751831055
605,what,6.031495940300726
609,who,7.875140190124512
610,why,5.686659097671509
611,about,NA
612,above,NA
613,around,5.916531562805176
614,at,5.110491752624512
615,away,7.497418403625488
617,behind,NA
618,beside,NA
619,by,NA
620,down,5.749709367752075
621,for,4.539314126968383
622,here,3.7012892166773477
623,in,3.3156338214874266
624,into,6.366443157196045
626,of,5.6656772295633955
627,off,6.189842700958252
628,on,4.803995418548584
630,out,4.9156782031059265
631,over,5.73226277033488
632,there,3.549862012863159
633,to,5.119202878740099
634,under,NA
635,up,4.051850509643555
636,with,5.829385089874267
637,a,3.7149273940495084
638,all,4.336086591084798
640,a,3.7149273940495084
641,another,5.048420111338298
642,any,NA
643,each,NA
644,every,NA
645,more,6.520171642303467
646,much,NA
647,none,NA
648,not,4.998541037241618
649,other,NA
650,same,NA
651,some,4.734557151794434
652,the,3.531515984308152
653,too,6.383542537689209
654,am,NA
655,are,5.920739412307739
656,be,NA
658,could,NA
659,did,6.316934744517009
660,do,5.447168895176479
661,does,5.502370166778564
662,dont,4.685370547430856
663,gonna,6.078278064727783
664,gotta,NA
665,hafta,NA
666,is,2.860247107113109
667,lemme,NA
668,need,NA
669,try,5.610052585601807
670,wanna,NA
671,was,5.390837033589681
672,were,NA
673,will,11.450609922409058
674,would,NA
675,and,4.866248201440881
676,because,NA
677,but,12.482705116271973
678,if,NA
679,so,5.754678567250569
680,then,12.587051391601562
